Title,LongDescription,answer
dot character 39 39 mvc web api 2 request api people staff.45287,url i'm trying let work one style http somedomain.com api people staff.33311 just like sites last.fm allow all sort signs restful amp webpage urls example http www.last.fm artist psy'aviah valid url last.fm what works following scenarios http somedomain.com api people which returns all people http somedomain.com api people/staff33311 would work well what i'm afteri'd want url accept dot like example below http somedomain.com api people staff.33311 gives me http error 404.0 foundthe resource you looking has been removed had its name changed temporarily unavailable.i ve set up following things controller peoplecontroller public ienumerable&lt person&gt getallpeople return people public ihttpactionresult getperson string id var person people.firstordefault p gt p.id.tolower equals id.tolower person null return notfound return ok person webapiconfig.cspublic static void register httpconfiguration config web api configuration services web api routesconfig.maphttpattributeroutes config.routes.maphttproute name defaultapi routetemplate api controller id defaults new id routeparameter.optional i already tried following all tips blogpost http www.hanselman.com blog experimentsinwackinessallowingpercentsanglebracketsandothernaughtythingsintheaspnetiisrequesturl.aspx still won't work i also think quite tedious i wonder isn't another better more secure way.we have our id internally like so we're going have find solution fit dot one way another preferably style i'm open alternative suggestions urls need,Suffix the URL with a slash e.g. http://somedomain.com/api/people/staff.33311/ instead of http://somedomain.com/api/people/staff.33311.
return html from asp.net web api,how return html from asp.net mvc web api controller i tried code below got compile error since response.write defined public class mycontroller apicontroller httppost public httpresponsemessage post response.write lt p&gt test&lt p&gt return request.createresponse httpstatuscode.ok,Starting with AspNetCore 2.0 it's recommended to use ContentResult instead of the Produce attribute in this case. See: https://github.com/aspnet/Mvc/issues/6657#issuecomment-322586885  This doesn't rely on serialization nor on content negotiation.[HttpGet]public ContentResult Index() {return new ContentResult {ContentType = "text/html"StatusCode = (int)HttpStatusCode.OKContent = "&lt;html&gt;&lt;body&gt;Hello World&lt;/body&gt;&lt;/html&gt;"};}
pass parameter controller from html.actionlink mvc 4,line html.actionlink reply blogreplycommentadd blog new blogpostid blogpostid replyblogpostmodel model captchavalid model.addnewcomment.displaycaptcha i get following runtime error blogpostid parameters dictionary contains null entry parameter blogpostid non nullable type system.int32 method system.web.mvc.actionresult blogreplycommentadd int32 nop.web.models.blogs.blogpostmodel boolean nop.web.controllers.blogcontroller optional parameter must reference type nullable type declared optional parameter parameter name parametersi have already assign value top var blogpostid model.id my controller public actionresult blogreplycommentadd int blogpostid blogpostmodel model bool captchavalid am i doing something wrong please give me example,I have to pass two parameters like:  /Controller/Action/Param1Value/Param2ValueThis way:@Html.ActionLink(linkTextactionNamecontrollerNamerouteValues: new {Param1Name= Param1Value Param2Name = Param2Value }htmlAttributes: null)will generate this url  /Controller/Action/Param1Value?Param2Name=Param2ValueI used a workaround method by merging parameter two in parameter one and I get what I wanted:@Html.ActionLink(linkTextactionNamecontrollerNamerouteValues: new {Param1Name= "Param1Value / Param2Value"   }htmlAttributes: null)And I get :   /Controller/Action/Param1Value/Param2Value
wcf vs asp net web api,what pros cons using each technology wcf web api now merged asp.netasp.net web api now supports self hosting.i still imagine i want expose multiple protocol schemas same operation i would still lean towards wcf can mvc end point do too also does new asp.net web api expose wsdl how would client figure out what operation available them arguably best feature mvc modelbinder how robust wcf equivalent so can someone tell me what advantage does asp.net web api bring table wcf seems overwhelmingly more powerful scalable choice imo about only thing mvc web api has over wcf model probably ease development means squat ends up being serious design limitation down road,The choice depends on what we want to do.ASP.NET Web API is a framework for building non-SOAP based services over HTTP only - so there aren't more transport protocols available using this framework.WCF / Windows Communication Foundation is a framework for exchanging SOAP-based messages - here we use a lot of transport protocols: HTTP TCP Named pipes MSMQ etc... I am not sure about which one has better performance regarding the amount of data maybe WCF since we can use low protocols. Any comments are appreciated.
ldquo exception occurred while processing your request additionally another exception occurred while executing custom error page&hellip rdquo,i'm trying publish mvc website azure webrole.when i run locally everything works fine once i publish azure surf some mvc action i get error server error application.runtime errordescription exception occurred while processing your request additionally another exception occurred while executing custom error page first exception request has been terminated.i don't understand how error handler can encounter exception because errors handled default way public class filterconfig public static void registerglobalfilters globalfiltercollection filters filters.add new handleerrorattribute my web.config lt xml version 1.0 gt lt configuration&gt lt configsections&gt lt sectiongroup name system.web.webpages.razor type system.web.webpages.razor.configuration.razorwebsectiongroup system.web.webpages.razor version 2.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 gt lt section name host type system.web.webpages.razor.configuration.hostsection system.web.webpages.razor version 2.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 requirepermission false gt lt section name pages type system.web.webpages.razor.configuration.razorpagessection system.web.webpages.razor version 2.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 requirepermission false gt lt sectiongroup&gt lt configsections&gt lt system.web.webpages.razor gt lt host factorytype system.web.mvc.mvcwebrazorhostfactory system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 gt lt pages pagebasetype system.web.mvc.webviewpage gt lt namespaces&gt lt add namespace system.web.mvc gt lt add namespace system.web.mvc.ajax gt lt add namespace system.web.mvc.html gt lt add namespace system.web.routing gt lt namespaces&gt lt pages&gt lt system.web.webpages.razor gt lt appsettings&gt lt add key webpages enabled value false gt lt appsettings&gt lt system.web gt lt httphandlers&gt lt add path verb type system.web.httpnotfoundhandler gt lt httphandlers&gt lt pagesvalidaterequest false pageparserfiltertype system.web.mvc.viewtypeparserfilter system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 pagebasetype system.web.mvc.viewpage system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 usercontrolbasetype system.web.mvc.viewusercontrol system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 gt lt controls&gt lt add assembly system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 namespace system.web.mvc tagprefix mvc gt lt controls&gt lt pages&gt lt system.web gt lt system.webserver gt lt validation validateintegratedmodeconfiguration false gt lt handlers&gt lt remove name blockviewhandler gt lt add name blockviewhandler path verb precondition integratedmode type system.web.httpnotfoundhandler gt lt handlers&gt lt system.webserver gt lt configuration&gt error.cshtml model system.web.mvc.handleerrorinfo viewbag.title error lt h2 gt sorry error occurred while processing your request lt h2 gt what can cause exception why can't i reproduce locally,I wasn't using Azure but I got the same error locally.  Using &lt;customErrors mode="Off" /&gt; seemed to have no effect but checking the Application logs in Event Viewer revealed a warning from ASP.NET which contained all the detail I needed to resolve the issue.
add data annotations class generated entity framework,i have following class generated entity framework public partial class itemrequest public int requestid get set i would like make required field required public int requestid get set however because generated code get wiped out i can't imagine way create partial class because property defined generated partial class how can i define constraint safe way,As MUG4N answered you can use partial classes but will be better use interfaces instead. In this case you will have compilation errors if EF model doesn't correspond to validation model. So you can modify your EF models without fear that validation rules are outdated.using System.Collections.Generic;using System.ComponentModel.DataAnnotations;namespace YourApplication.Models{public interface IEntityMetadata{[Required]Int32 Id { get; set; }}[MetadataType(typeof(IEntityMetadata))]public partial class Entity : IEntityMetadata{/* Id property has already existed in the mapped class */}}P.S. If you are using project type which is differ from ASP.NET MVC (when you perform manual data validation) don't forget to register your validators/* Global.asax or similar */TypeDescriptor.AddProviderTransparent(new AssociatedMetadataTypeTypeDescriptionProvider(typeof(Entity) typeof(IEntityMetadata)) typeof(Entity));
how do i add bundleconfig.cs my project,i have asp.net mvc project i want implement bundling everything i can find internet directs me open bundleconfig.cs app start however file does exist my project i have only three files folder filterconfig routeconfig webapiconfig.bundle config wasn't generated when i created solution iirc blank asp.net mvc project beginning seems like should really easy do i just plain cannot figure outps just clarify those reading closely mvc4 net 4.5 app created from scratch solution marked below,If you are using "MVC 5" you may not see the file and you should follow these steps: http://www.techjunkieblog.com/2015/05/aspnet-mvc-empty-project-adding.htmlIf you are using "ASP.NET 5" it has stopped using "bundling and minification" instead was replaced by gulp bower and npm. More information see https://jeffreyfritz.com/2015/05/where-did-my-asp-net-bundles-go-in-asp-net-5/
could load file assembly 39 system.net.http version 2.0.0.0 mvc4 web api,i have bit weird problem.i developed app mvc 4 new web api works fine locally i installed mvc4 server deployed app now i get following error could load file assembly system.net.http version 2.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 one its dependencies located assembly manifest definition does match assembly reference exception from hresult 0x80131040 description unhandled exception occurred during execution current web request please review stack trace more information about error where originated infunny enough version system.net.http i locally have either my package folder asp.net mvc 4 assemblies folder 1000 i actually removed reference system.net.http from my project i still get same message i'm bit confused about where gets 2.0.0.0 reference from why would work locally server.looking nuget dependencies asp.net web api core libraries beta depends system.net.http.formatting.and system.net.http.formatting depends system.net.http.i guess where comes from i do have version 2.0.20126.16343 package installed just dll inside has version 1.0.0.0 am i missing something update sub application another asp.net app other one still based webforms so something getting messed up i do clean under assembly section web.config does even find app itself anymore,I had the same error while deploying previously converted (from .NET 4.5 to 4.0) web app on IIS 6.0. In the web.config runtime section I've found&lt;dependentAssembly&gt;&lt;assemblyIdentity name="System.Net.Http" publicKeyToken="b03f5f7f11d50a3a" culture="neutral"/&gt;&lt;bindingRedirect oldVersion="0.0.0.0-4.0.0.0" newVersion="4.0.0.0"/&gt;&lt;/dependentAssembly&gt;which I've changed to&lt;dependentAssembly&gt;&lt;assemblyIdentity name="System.Net.Http" publicKeyToken="b03f5f7f11d50a3a" culture="neutral"/&gt;&lt;bindingRedirect oldVersion="0.0.0.0-1.0.0.0" newVersion="2.0.0.0"/&gt;&lt;/dependentAssembly&gt;Now works like charm.
how add global asp.net web api filters,i've created web api filter using system.web.http.filters.actionfilterattribute i am unable get work inside asp.net mvc 4 i tried adding registerglobalfilters method didn't work.so one using web api hosted asp.net mvc how does one register filters,note that this answer holds true up to MVC 5/Web API 2Short answer: MVC and Web API filters are not cross compatible and if you want to register them globally you must use the appropriate configuration classes for each.Long answer: ASP.NET MVC and Web API are purposely designed to work in a similar way but they are in fact different creatures. Web API lives under the System.Web.Http namespace whereas MVC lives under the System.Web.Mvc namespace. The two will happily live side by side but one does not contain the other and despite the similarities in the programming model the underlying implementations are different. Just as MVC controllers and Web API controllers inherit different base controller classes (MVC's is simply named Controller and Web API's is named ApiController) MVC filters and Web API filters inherit from different FilterAttribute classes (both share the same name in this case but are separate classes which live in their respective namespaces).Web API global filters are registered through the HttpConfiguration object available to you in the Register method WebApiConfig.cs if you're using a project template with WebActivator:public static void Register(HttpConfiguration config){//stuff beforeconfig.Filters.Add(new MyWebApiFilter());//stuff after}or otherwise in the global.asax.cs:GlobalConfiguration.Configuration.Filters.Add(new MyWebApiFilter());Mvc global filters are registered by way of a GlobalFilterCollection object which is available to you through the RegisterGlobalFilters method of FilterConfig.cs for projects that are using WebActivator:public class FilterConfig{public static void RegisterGlobalFilters(GlobalFilterCollection filters){//stuff beforefilters.Add(new MyMvcFilter());//stuff after}}or in the global.asax.cs file by way of GlobalFilters.Filters collection for those without WebActivator:GlobalFilters.Filters.Add(new MyMvcFilter());It's worth noting that in both cases you do not need to inherit from the appropriate FilterAttribute type. Web API Filters need only implement the System.Web.Http.IFilter interface while MVC filter registration checks to ensure that your class inherits one of a handful of filter interfaces defined in the System.Web.Mvc namespace.
how remove error about glyphicons halflings regular.woff2 found,asp.net mvc4 bootstrap 3 application running from microsoft visual studio express 2013 web ide.chrome console shows always errorhttp localhost 52216/admin fonts glyphicons halflings regular.woff2failed load resource server responded status 404 found file exists fonts directory solution explorer build action set content copy output directory do copy like other font files bootstrap 3 added solution using nuget.how fix so error does occur application shows glyphicon fontawesome icons properly error always occurs application startup,In my case I've just downloaded the missing file directly from here: https://github.com/twbs/bootstrap/blob/master/dist/fonts/glyphicons-halflings-regular.woff2
how can i specify explicit scriptbundle include order,i'm trying out mvc4 system.web.optimization 1.0 scriptbundle feature i have following configuration public class bundleconfig public static void registerbundles bundlecollection bundles shared scriptsbundle canvasscripts new scriptbundle bundlepaths.canvasscripts include scripts modernizr include scripts/json2.js include scripts columnizer.js include scripts jquery.ui.message.min.js include scripts shared achievements.js include scripts shared canvas.js bundles.add canvasscripts following view lt script type text javascript src scripts.url bundlepaths.canvasscripts gt lt script&gt where bundlepaths.canvasscripts bundles scripts canvas renders lt script type text javascript src bundles scripts canvas v uth3xqh0uxwjjzi-gtx03eu183bjnpfng8aniog14_41 gt lt script&gt so far so good except scripts shared achievements.js first script bundled source depends every script included before scriptbundle how can i ensure honors order which i add include statements bundle updatethis relatively new asp.net mvc 4 application referencing optimization framework pre release package i removed added rtm package from http nuget.org packages microsoftaspnetweboptimization rtm version debug true web.config scripts.render bundles scripts canvas renders individual script tags correct order debug false web.config combined script has achievements.js script first since its function definition object constructor called later runs without error perhaps minifier smart enough figure out dependencies i also tried ibundleorderer implementation darin dimitrov suggested rtm both debug options behaved same.so minified version order i expect works,You could write a custom bundle orderer (IBundleOrderer) that will ensure bundles are included in the order you register them:public class AsIsBundleOrderer : IBundleOrderer{public virtual IEnumerable&lt;FileInfo&gt; OrderFiles(BundleContext context IEnumerable&lt;FileInfo&gt; files){return files;}}and then:public class BundleConfig{public static void RegisterBundles(BundleCollection bundles){var bundle = new Bundle("~/bundles/scripts/canvas");bundle.Orderer = new AsIsBundleOrderer();bundle.Include("~/Scripts/modernizr-*").Include("~/Scripts/json2.js").Include("~/Scripts/columnizer.js").Include("~/Scripts/jquery.ui.message.min.js").Include("~/Scripts/Shared/achievements.js").Include("~/Scripts/Shared/canvas.js");bundles.Add(bundle);}}and in your view:@Scripts.Render("~/bundles/scripts/canvas")
unobtrusive validation working dynamic content,i'm having problems trying get unobtrusive jquery validation work partial view loaded dynamically through ajax call.i ve been spending days trying get code work luck.here s view model mvcapplication2.models.test using html.beginform html.validationsummary true lt div id res gt lt div&gt lt input id submit type submit value submit gt partial view model mvcapplication2.models.test@html.textareafor m gt m.myproperty html.validationmessagefor m gt m.myproperty lt script type text javascript gt validator.unobtrusive.parse document lt script&gt model public class test required errormessage required field public int myproperty get set controller public actionresult getview return partialview test finally javascript doument ready function ajax url test getview'success function res res html res validator.unobtrusive.parse res submit click function form valid alert valid return true else alert valid return false validation does work even i don't fill any information texbox submit event shows alert valid however instead loading dynamically view i use html.partial test model render partial view main view i don't do ajax call validation works just fine.this probably because i load content dynamically controls don't exist dom yet i do call validator.unobtrusive.parse res which should enough let validator about newly loaded controls can anyone help,If you try to parse a form that is already parsed it won't updateWhat you could do when you add dynamic element to the form is either You could remove the form's validation and re validate it like this:var form = $(formSelector).removeData("validator") /* added by the raw jquery.validate plugin */.removeData("unobtrusiveValidation");  /* added by the jquery unobtrusive plugin*/$.validator.unobtrusive.parse(form);Access the form's unobtrusiveValidation data using the jquery data method:$(form).data('unobtrusiveValidation')then access the rules collection and add the new elements attributes (which is somewhat complicated). You can also check out this article on Applying unobtrusive jquery validation to dynamic content in ASP.Net MVC for a plugin used for adding dynamic elements to a form. This plugin uses the 2nd solution.
mvc4 http error 403.14 forbidden,i have build net4.5 asp.net mvc4 web app which works fine locally iis express amp dev server once i deploy my web server throws 403 error i have installed net 4.5rc server even tried aspnet regiis ibit everyone recommended issues previous versions mvc net did help.any ideas edit more info about situation server 32bit i have 4 other mvc3 applications work fine just my mvc4 app working,Error 403.14 is the HTTP error code for not being allowed to list the contents of a directory.  Please be sure that You have setup the website as an application in IIS You have .NET 4.5 installed on the serverYou have set the application pool to run the proper version of the.NET framework (ie. it is not set  to .NET 2.0You are using the integrated pipeline on your application pool.NET 4.5 is actually registered in IIS.  Please see this post for a similar issue/resolutionUsually a and d are the biggest issues surrounding MVC deployments to IIS
asp.net mvc razor concatenation,i'm trying render html list looks like following using razor view engine lt ul&gt lt li id item_1 gt item 1 lt li&gt lt li id item_2 gt item 2 lt li&gt lt ul&gt code i am attempting use render list lt ul&gt foreach var item model.theitems lt li id item item.theitemid gt item item.theitemid lt li&gt lt ul&gt parser choking because thinks everything right underscore id attribute plain text should parsed i'm uncertain how instruct parser render theitemid.i don't want property model object includes item prefix.i also have keep syntax i am using list jquery sortable serialize function requires id attribute formatted syntax,How about using String.Format? like this:&lt;li id="@String.Format("item_{0}" item.TheItemId)"&gt;
mixing angular asp.net mvc web api,i come from using asp.net mvc web api now i am starting use angular i am clear proper way mix them.once i am using angular does mvc sever side concepts still provide any value should i strictly using web api purely get data angular http calls any tips you have asp.net mvc guy transitioning angular would helpful,Pure Web APII used to be pretty hardcore with ASP.NET MVC but since I've met Angular I do not see one reason why I would use any server side content generation framework. Pure Angular/REST(WebApi) gives a richer and smoother result. It's much faster and allows you to build websites that come quite close to desktop applications without any funky hacks. Angular does have a little learning curve but once your team has mastered it you'll build much better websites in less time. Mainly this has to do with the fact that you don't have all these state(less) issues anymore. For example imagine a wizard form with any traditional server side framework. Each page needs to be validated and submitted separately. Maybe the content of the page is dependent on values from a previous page. Maybe the user pressed the back button and is re-submitting an previous form. Where do we store the state of the client? All these complications do not exist when using Angular and REST.So ... come over to the dark side ... we've got cookies.Similar question
execute insert command return inserted id sql,hi i am inserting some values sql table using c mvc4 actually i want insert values return id last inserted record i use following code.public class memberbasicdata public int id get set public string mem na get set public string mem occ get set id automatically increment database when inserted.public int createnewmember string mem na string mem occ using sqlconnection con new sqlconnection config.connectionstring using sqlcommand cmd new sqlcommand insert mem basic mem namem occ values na@occ con cmd.parameters.addwithvalue na mem na cmd.parameters.addwithvalue occ mem occ con.open int modified cmd.executenonquery con.state system.data.connectionstate.open con.close return modified i know executenonquery denotes numbers affecting row instead i useint modified int cmd.executescalar working please help me solving any code like cmd.executeinsertandgetid working my code,Change the query to"INSERT INTO Mem_Basic(Mem_NaMem_Occ) VALUES(@na@occ); SELECT SCOPE_IDENTITY()"This will return the last inserted ID which you can then get with ExecuteScalar
logging request response messages when using httpclient,i have method does post like belowvar response await client.postasjsonasync url entity response.issuccessstatuscode read response strongly typed objectreturn await response.content.readasasync lt t&gt my question how can i obtain actual json got posted from entity object i would like log json gets posted so nice have without me having do json serialize myself,See http://mikehadlow.blogspot.com/2012/07/tracing-systemnet-to-debug-http-clients.htmlTo configure a System.Net listener to output to both the console and a log file add the following to your assembly configuration file:&lt;system.diagnostics&gt;  &lt;trace autoflush="true" /&gt;  &lt;sources&gt;&lt;source name="System.Net"&gt;  &lt;listeners&gt;&lt;add name="MyTraceFile"/&gt;&lt;add name="MyConsole"/&gt;  &lt;/listeners&gt;&lt;/source&gt;  &lt;/sources&gt;  &lt;sharedListeners&gt;&lt;add  name="MyTraceFile"  type="System.Diagnostics.TextWriterTraceListener"  initializeData="System.Net.trace.log" /&gt;&lt;add name="MyConsole" type="System.Diagnostics.ConsoleTraceListener" /&gt;  &lt;/sharedListeners&gt;  &lt;switches&gt;&lt;add name="System.Net" value="Verbose" /&gt;  &lt;/switches&gt;&lt;/system.diagnostics&gt;
ldquo templates can used only field access property access single dimension array index single parameter custom indexer expressions&rdquo error,why am i receiving error templates can used only field access property access single dimension array index single parameter custom indexer expressionsat code model ienumerable&lt artschoolproject.models.trainer gt viewbag.title index layout views shared pagelayout.cshtml lt h2 gt index&lt h2 gt lt p&gt html.actionlink create new create lt p&gt lt ul class trainers gt foreach var item model lt li&gt lt div&gt lt div class left gt lt href url.action details details new id item.id gt lt img src images trainer item.picture gt lt a&gt lt div&gt lt div class right gt html.actionlink item.name details new id item.id lt br gt html.displayfor modelitem gt string item.description.tostring substring 0100 lt div&gt lt div&gt lt li&gt lt ul&gt line html.displayfor modelitem gt item.description.tostring substring 0100 update problem solved i added my code string parametervalue item.description.tostring substring 0 100 html.displayfor modelitem gt parametervalue my new code foreach var item model lt li&gt lt div&gt lt div class left gt lt href url.action details details new id item.id gt lt img src images trainer item.picture gt lt a&gt lt div&gt lt div class right gt html.actionlink item.name details new id item.id lt br gt string parametervalue item.description.tostring substring 0 100 html.displayfor modelitem gt parametervalue lt div&gt lt div&gt lt li&gt only one possibility just curiosity another solution solving error,I had the same problem with something like @foreach (var item in Model){@Html.DisplayFor(m =&gt; !item.IsIdle "BoolIcon")}I solved this just by doing@foreach (var item in Model){var active = !item.IsIdle;@Html.DisplayFor(m =&gt; active  "BoolIcon")}When you know the trick it's simple.The difference is that in the first case I passed a method as a parameter whereas in the second case it's an expression.
mvc4 style bundle giving 403,when bundling minification enabled some my bundles seem have invalid url browser ending iis gives 403 forbidden error trying list folder contents.there s difference way my bundles set up min.css access permissions correct etc,In my case bundle was specified as a directory @Scripts.Render("~/scripts") so IIS did not know how to serve the actual js file I changed the bundle name to represent a javascript file @Scripts.Render("~/scripts.js") and that fixed it. The same was true for my style bundle.
how can i change iis express port site,i want change port number which my website runs while debugging from visual studio i am using visual studio 2012 i am using asp.net mvc 4 my projects i want change port random port fixed anyone work just want change port,Here's a more manual method that works both for Website projects and Web Application projects. (you can't change the project URL from within Visual Studio for Website projects.)To specify a port for any web project that uses IIS Express:In Solution Explorer right-click the project name and then click Remove or Delete; don't worry this removes the project from your solution but does not delete the corresponding files on disk.Navigate to the IIS Express ApplicationHost.config file. By default this file is located in:%userprofile%\Documents\IISExpress\configOpen the ApplicationHost.config file in a text editor. In the &lt;sites&gt; section search for your site's name. In the &lt;bindings&gt; section of your site you will see an element like this:&lt;binding protocol="http" bindingInformation="*:56422:localhost" /&gt;Change the port number (56422 in the above example) to anything you want. e.g.:&lt;binding protocol="http" bindingInformation="*:44444:localhost" /&gt;(Bonus: You can even bind to a different host name and do cool things like:&lt;binding protocol="http" bindingInformation="*:80:mysite.dev" /&gt;and then map mysite.dev to 127.0.0.1 in your hosts file and then open your website from "http://mysite.dev"; but that's outside the scope of this answer so I won't go into any more details)If you had a Website project:In Solution Explorer right-click the solution select Add and then select Existing Web Site.... In the Add Existing Web Site dialog box make sure that the Local IIS tab is selected. Under IIS Express Sites select the site for which you have changed the port number then click OK.If you had a Web Application project:In Solution Explorer right-click the solution select Add and then select Existing Project... browse to and select your web application's project file. Then:In Solution Explorer right-click the name of the project and then select Properties. Click the Web tab.In the Servers section under Use Local IIS Web server in the Project URL box enter a URL to match the hostname and port you entered in the ApplicationHost.config file from before.To the right of the Project URL box click Create Virtual Directory and then click OK.In the File menu click Save Selected Items.Now you can access your website from your new hostname/port.
web api mvc solution separate project,i am creating new mvc4 project research has lead me believe communicating from javascript server side better achieved now through web api framework rather than controller actions my understanding correct i am presuming i can share all my attributes etc between web api mvc controllers so face does seem massive change me.when i am setting up applications i like split components out projects my plan have mvc project web api project i have ran issues example i have ended up 2 apps separate routing set up etc etc.so my question mvc application should web api framework sit within same project should web api separated project its own work around issues,IMO security and deployment should drive your decision.  E.g. if your MVC app uses Forms authentication but you're interested in using Basic authentication (with SSL) for your API separate projects are going to make your life easier.  If you want to host yout site at www.example.com but host your API as api.example.com (vs. www.example.com/api) separate projects will make your life easier.  If you separate your projects and subdomain them accordingly and you intend to leverage your own API from your MVC app you will have to figure out how to deal with the Same Origin Policy issue for client-side calls to your API.  Common solutions to this are to leverage jsonp or CORS (preferably if you can).Update (3/26/2013): Official CORS support is coming: http://aspnetwebstack.codeplex.com/wikipage?title=CORS%20support%20for%20ASP.NET%20Web%20API
could load file assembly 39 dotnetopenauth.core,i get following error when i start my asp net mvc 4 application could load file assembly dotnetopenauth.core version 4.0.0.0 culture neutral publickeytoken 2780ccd10d57b246 one its dependencies system cannot find file specifiedthis error logassembly manager loaded from c windows microsoft.net framework v4.0.30319 clr.dllrunning under executable c windows syswow64 inetsrv w3wp.exe detailed error log follows pre bind state information log user notebook guilhermelog displayname dotnetopenauth.core version 4.0.0.0 culture neutral publickeytoken 2780ccd10d57b246 fully specified log appbase file c users guilherme documents visual studio 2012/projects gedi gedi log initial privatepath c users guilherme documents visual studio 2012 projects gedi gedi bincalling assembly microsoft.web.webpages.oauth version 2.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 log bind starts default load context.log using application configuration file c users guilherme documents visual studio 2012 projects gedi gedi web.configlog using host configuration file c windows microsoft.net framework v4.0.30319 aspnet.configlog using machine configuration file from c windows microsoft.net framework v4.0.30319 config machine.config.log post policy reference dotnetopenauth.core version 4.0.0.0 culture neutral publickeytoken 2780ccd10d57b246log attempting download new url file c windows microsoft.net framework/v4.0.30319/temporary asp.net files root/2635bb56/154c3fbb dotnetopenauth.core.dll.log attempting download new url file c windows microsoft.net framework/v4.0.30319/temporary asp.net files root/2635bb56/154c3fbb dotnetopenauth.core dotnetopenauth.core.dll.log attempting download new url file c users guilherme documents visual studio 2012/projects gedi gedi bin dotnetopenauth.core.dll.log attempting download new url file c users guilherme documents visual studio 2012/projects gedi gedi bin dotnetopenauth.core dotnetopenauth.core.dll.log attempting download new url file c windows microsoft.net framework/v4.0.30319/temporary asp.net files root/2635bb56/154c3fbb dotnetopenauth.core.exe.log attempting download new url file c windows microsoft.net framework/v4.0.30319/temporary asp.net files root/2635bb56/154c3fbb dotnetopenauth.core dotnetopenauth.core.exe.log attempting download new url file c users guilherme documents visual studio 2012/projects gedi gedi bin dotnetopenauth.core.exe.log attempting download new url file c users guilherme documents visual studio 2012/projects gedi gedi bin dotnetopenauth.core dotnetopenauth.core.exe.i have already remove all references from dotnetopenauth packager manager also i checked my self references every auth assembly i had my project none.this my packages.config lt packages&gt lt package id automapper version 2.2.0 targetframework net45 gt lt package id entityframework version 5.0.0 targetframework net45 gt lt package id jquery version 1.7.1.1 targetframework net45 gt lt package id jquery.ui.combined version 1.8.20.1 targetframework net45 gt lt package id jquery.validation version 1.9.0.1 targetframework net45 gt lt package id knockoutjs version 2.1.0 targetframework net45 gt lt package id microsoft.aspnet.mvc version 4.0.20710.0 targetframework net45 gt lt package id microsoft.aspnet.razor version 2.0.20710.0 targetframework net45 gt lt package id microsoft.aspnet.web.optimization version 1.0.0 targetframework net45 gt lt package id microsoft.aspnet.webapi version 4.0.20710.0 targetframework net45 gt lt package id microsoft.aspnet.webapi.client version 4.0.20710.0 targetframework net45 gt lt package id microsoft.aspnet.webapi.core version 4.0.20710.0 targetframework net45 gt lt package id microsoft.aspnet.webapi.webhost version 4.0.20710.0 targetframework net45 gt lt package id microsoft.aspnet.webpages version 2.0.20710.0 targetframework net45 gt lt package id microsoft.aspnet.webpages.data version 2.0.20710.0 targetframework net45 gt lt package id microsoft.aspnet.webpages.webdata version 2.0.20710.0 targetframework net45 gt lt package id microsoft.jquery.unobtrusive.ajax version 2.0.20710.0 targetframework net45 gt lt package id microsoft.jquery.unobtrusive.validation version 2.0.20710.0 targetframework net45 gt lt package id microsoft.net.http version 2.0.20710.0 targetframework net45 gt lt package id microsoft.web.infrastructure version 1.0.0.0 targetframework net45 gt lt package id modernizr version 2.5.3 targetframework net45 gt lt package id newtonsoft.json version 4.5.11 targetframework net45 gt lt package id repository version 1.0.2.12 targetframework net45 gt lt package id restsharp version 103.4 targetframework net45 gt lt package id webgrease version 1.1.0 targetframework net45 gt lt packages&gt thanks,I had similar problem. It was really strange as the project was running OK a day before. Removing obj and bin folders from the project folder cleaning the solution and rebuilding it worked. Hope that helps.
redirect hash from controller using ldquo redirecttoaction&rdquo,hello i want return anchor from mvc controller controller name defaultcontroller public actionresult myaction int id return redirecttoaction index region so url when directed index http localhost default regionso lt href region&gt content should focus here&lt a&gt i am asking you can do like how can i add anchor tag my url,Great answer gdoron. Here's another way that I use (just to add to the available solutions here).return Redirect(String.Format("{0}#{1}" Url.RouteUrl(new { controller = "MyController" action = "Index" }) "anchor_hash");Obviously with gdoron's answer this could be made a cleaner with the following in this simple case;return new RedirectResult(Url.Action("Index") + "#anchor_hash");
